a b reom imom delta
0.0000000000 0.4000000000 1.6892638245 -0.3331148032 -0.2000000000
0.0500000000 0.3500000000 1.6867690818 -0.3346764071 -0.1500000000
0.1000000000 0.3000000000 1.6850020319 -0.3357431317 -0.1000000000
0.1500000000 0.2500000000 1.6839481434 -0.3363646842 -0.0500000000
0.2000000000 0.2000000000 1.6835979353 -0.3365688835 0.0000000000
0.2500000000 0.1500000000 1.6839481434 -0.3363646842 0.0500000000
0.3000000000 0.1000000000 1.6850020319 -0.3357431317 0.1000000000
0.3500000000 0.0500000000 1.6867690818 -0.3346764071 0.1500000000
0.4000000000 0.0000000000 1.6892638245 -0.3331148032 0.2000000000
