re im
2.56561136 -1.46303793
2.56941262 -1.45866752
2.57405186 -1.45303793
2.57941262 -1.44661394
2.58223455 -1.44303793
2.58941262 -1.43413729
2.59025090 -1.43303793
2.59815255 -1.42303793
2.59941262 -1.42150708
2.60603850 -1.41303793
2.60941262 -1.40894298
2.61405414 -1.40303793
2.61941262 -1.39664683
2.62231292 -1.39303793
2.62941262 -1.38484741
2.63092861 -1.38303793
2.63941262 -1.37373632
2.64003564 -1.37303793
2.64941262 -1.36343646
2.64979932 -1.36303793
2.65941262 -1.35400873
2.66046044 -1.35303793
2.66941262 -1.34545181
2.67237382 -1.34303793
2.67941262 -1.33774388
2.68611100 -1.33303793
2.68941262 -1.33086892
2.69941262 -1.32481775
2.70268294 -1.32303793
2.70941262 -1.31953805
2.71941262 -1.31503793
2.72467913 -1.31303793
2.72941262 -1.31126535
2.73941262 -1.30818091
2.74941262 -1.30583598
2.75941262 -1.30420286
2.76941262 -1.30326217
2.77777233 -1.30303793
2.77941262 -1.30299113
2.78047308 -1.30303793
2.78941262 -1.30340655
2.79941262 -1.30452060
2.80941262 -1.30638368
2.81941262 -1.30906039
2.82941262 -1.31263078
2.83035320 -1.31303793
2.83941262 -1.31698614
2.84941262 -1.32241604
2.85041451 -1.32303793
2.85941262 -1.32888405
2.86494207 -1.33303793
2.86941262 -1.33664840
2.87652588 -1.34303793
2.87941262 -1.34589691
2.88613266 -1.35303793
2.88941262 -1.35696505
2.89428949 -1.36303793
2.89941262 -1.37034594
2.90127474 -1.37303793
2.90735988 -1.38303793
2.90941262 -1.38694883
2.91267436 -1.39303793
2.91730333 -1.40303793
2.91941262 -1.40833550
2.92136597 -1.41303793
2.92496392 -1.42303793
2.92807114 -1.43303793
2.92941262 -1.43803019
2.93084024 -1.44303793
2.93330998 -1.45303793
2.93548378 -1.46303793
2.93741910 -1.47303793
2.93917167 -1.48303793
2.93941262 -1.48456985
2.94082260 -1.49303793
2.94237602 -1.50303793
2.94387548 -1.51303793
2.94536420 -1.52303793
2.94688793 -1.53303793
2.94848854 -1.54303793
2.94941262 -1.54851757
2.95020234 -1.55303793
2.95206353 -1.56303793
2.95410137 -1.57303793
2.95634877 -1.58303793
2.95883080 -1.59303793
2.95941262 -1.59520653
2.96155263 -1.60303793
2.96454333 -1.61303793
2.96782205 -1.62303793
2.96941262 -1.62753393
2.97138302 -1.63303793
2.97523283 -1.64303793
2.97938694 -1.65303793
2.97941262 -1.65309629
2.98381520 -1.66303793
2.98855015 -1.67303793
2.98941262 -1.67476722
2.99355634 -1.68303793
2.99884864 -1.69303793
2.99941262 -1.69405642
3.00439876 -1.70303793
3.00941262 -1.71164762
3.01022518 -1.71303793
3.01629274 -1.72303793
nan nan
2.45941262 -1.43672125
2.46398990 -1.43303793
2.46941262 -1.42869382
2.47631431 -1.42303793
